applicant_id,score
"1","1.34"
"2","2.76"
"3","1.35"
"4","6.67"
"5","1.26"
"6","5.21"
"7","7.87"
"8","6.55"
"9","6.29"
"10","6.74"
"11","4.12"
"12","9.67"
"13","9.05"
"14","6.43"
"15","9.83"
"16","5.31"
"17","3.77"
"18","3.27"
"19","7.33"
"20","8.4"
"21","4.13"
"22","9.44"
"23","0.24"
"24","1.9"
"25","3.2"
"26","2.39"
"27","5.42"
"28","9.01"
"29","5.82"
"30","2.61"
"31","9.81"
"32","8.67"
"33","2.43"
"34","1.61"
"35","5.2"
"36","1.16"
"37","3.77"
"38","2.53"
"39","0.18"
"40","8.63"
"41","5.56"
"42","6.19"
"43","9.76"
"44","3.21"
"45","4.02"
"46","4.8"
"47","1.17"
"48","5.08"
"49","9.31"
"50","5.26"
"51","5.75"
"52","7.26"
"53","9.82"
"54","3.97"
"55","6.3"
"56","6.66"
"57","4.69"
"58","6.06"
"59","7.1"
"60","5.26"
"61","4.06"
"62","5.48"
"63","9.93"
"64","6.83"
"65","6.19"
"66","3.42"
"67","1.05"
"68","0.28"
"69","7.16"
"70","2.79"
"71","2.66"
"72","6.39"
"73","4.86"
"74","3.33"
"75","4.97"
"76","8.88"
"77","4.61"
"78","2.59"
"79","6.21"
"80","4.37"
"81","4.01"
"82","0.73"
"83","9.63"
"84","7.69"
"85","0.95"
"86","6.98"
"87","7.88"
"88","4.86"
"89","6.27"
"90","2.62"
"91","7.07"
"92","9.27"
"93","3.02"
"94","8.89"
"95","1.42"
"96","4.1"
"97","6.27"
"98","0.01"
"99","8.11"
"100","7.79"
"101","5.47"
"102","7.04"
"103","5.03"
"104","2.97"
"105","3.66"
"106","8.77"
"107","0.88"
"108","1.98"
"109","4.23"
"110","2.21"
"111","6.75"
"112","7.66"
"113","0.04"
"114","3.56"
"115","9.08"
"116","0.75"
"117","4.98"
"118","0.71"
"119","5.55"
"120","8.1"
"121","3.11"
"122","0.89"
"123","1.63"
"124","0.3"
"125","0.91"
"126","5.51"
"127","0.62"
"128","6.66"
"129","1.47"
"130","2.42"
"131","0.61"
"132","0.95"
"133","2.03"
"134","2.39"
"135","0.16"
"136","4.1"
"137","5.67"
"138","9.29"
"139","2.82"
"140","7.72"
"141","3.55"
"142","9.65"
"143","1.49"
"144","5.74"
"145","2.18"
"146","4.19"
"147","6.44"
"148","8.38"
"149","8.35"
"150","0.0"
"151","7.85"
"152","7.43"
"153","9.89"
"154","3.45"
"155","0.21"
"156","2.93"
"157","5.03"
"158","5.88"
"159","9.64"
"160","2.02"
"161","1.86"
"162","3.3"
"163","0.85"
"164","9.2"
"165","1.0"
"166","0.24"
"167","1.23"
"168","2.45"
"169","9.38"
"170","1.07"
"171","9.9"
"172","7.18"
"173","1.43"
"174","7.19"
"175","5.99"
"176","4.04"
"177","7.96"
"178","8.26"
"179","7.69"
"180","0.65"
"181","9.69"
"182","9.45"
"183","7.56"
"184","9.84"
"185","7.7"
"186","4.12"
"187","4.75"
"188","7.6"
"189","8.26"
"190","3.76"
"191","5.99"
"192","4.35"
"193","6.29"
"194","7.52"
"195","2.18"
"196","8.88"
"197","7.71"
"198","5.41"
"199","7.05"
"200","1.59"
"201","2.81"
"202","3.05"
"203","7.79"
"204","6.26"
"205","5.2"
"206","4.97"
"207","6.75"
"208","0.55"
"209","6.96"
"210","8.25"
"211","0.75"
"212","8.39"
"213","3.96"
"214","2.67"
"215","1.69"
"216","9.08"
"217","1.7"
"218","3.44"
"219","2.23"
"220","9.73"
"221","7.07"
"222","7.69"
"223","8.71"
"224","9.82"
"225","8.92"
"226","2.09"
"227","1.04"
"228","8.22"
"229","2.57"
"230","6.62"
"231","4.2"
"232","4.21"
"233","1.79"
"234","4.6"
"235","6.45"
"236","2.8"
"237","7.52"
"238","3.1"
"239","2.76"
"240","0.22"
"241","3.51"
"242","4.98"
"243","4.33"
"244","0.77"
"245","7.07"
"246","0.54"
"247","1.51"
"248","2.91"
"249","6.41"
"250","1.87"
"251","8.6"
"252","2.9"
"253","1.31"
"254","0.42"
"255","6.01"
"256","1.43"
"257","8.93"
"258","5.54"
"259","2.44"
"260","3.5"
"261","7.79"
"262","3.25"
"263","7.4"
"264","8.92"
"265","5.99"
"266","6.03"
"267","9.09"
"268","1.13"
"269","6.92"
"270","9.89"
"271","8.9"
"272","7.41"
"273","7.84"
"274","4.95"
"275","8.29"
"276","9.6"
"277","4.88"
"278","4.45"
"279","2.02"
"280","1.91"
"281","4.88"
"282","9.27"
"283","5.46"
"284","7.75"
"285","5.31"
"286","1.36"
"287","4.75"
"288","1.72"
"289","0.65"
"290","0.29"
"291","4.85"
"292","4.46"
"293","4.31"
"294","9.06"
"295","5.18"
"296","0.26"
"297","1.44"
"298","9.58"
"299","2.81"
"300","8.12"
"301","6.39"
"302","7.15"
"303","4.37"
"304","3.84"
"305","7.51"
"306","0.73"
"307","2.24"
"308","3.15"
"309","2.52"
"310","8.55"
"311","5.4"
"312","0.44"
"313","0.06"
"314","6.85"
"315","4.22"
"316","2.1"
"317","7.88"
"318","2.23"
"319","1.02"
"320","6.03"
"321","5.12"
"322","2.97"
"323","9.53"
"324","8.18"
"325","2.25"
"326","8.11"
"327","3.29"
"328","0.39"
"329","8.05"
"330","3.54"
"331","7.39"
"332","8.15"
"333","4.87"
"334","0.45"
"335","4.44"
"336","6.62"
"337","7.79"
"338","8.85"
"339","8.66"
"340","8.11"
"341","9.06"
"342","3.63"
"343","8.16"
"344","9.45"
"345","1.87"
"346","0.18"
"347","6.4"
"348","8.07"
"349","6.82"
"350","9.8"
"351","1.84"
"352","2.96"
"353","7.16"
"354","6.21"
"355","2.22"
"356","2.63"
"357","7.94"
"358","2.55"
"359","0.9"
"360","9.24"
"361","2.95"
"362","4.0"
"363","0.07"
"364","3.71"
"365","7.61"
"366","9.35"
"367","6.58"
"368","0.93"
"369","0.77"
"370","3.57"
"371","0.07"
"372","7.99"
"373","3.28"
"374","2.27"
"375","2.5"
"376","1.24"
"377","8.91"
"378","0.89"
"379","4.15"
"380","3.31"
"381","8.58"
"382","7.18"
"383","0.64"
"384","4.51"
"385","1.03"
"386","8.07"
"387","9.13"
"388","7.51"
"389","7.62"
"390","7.85"
"391","0.21"
"392","6.01"
"393","2.06"
"394","3.58"
"395","9.33"
"396","8.27"
"397","7.88"
"398","4.43"
"399","5.26"
"400","0.04"
"401","5.47"
"402","2.64"
"403","8.7"
"404","9.35"
"405","0.98"
"406","5.62"
"407","2.09"
"408","2.2"
"409","2.18"
"410","1.95"
"411","2.26"
"412","0.36"
"413","4.41"
"414","5.36"
"415","2.32"
"416","0.66"
"417","1.35"
"418","4.44"
"419","2.99"
"420","1.12"
"421","3.75"
"422","0.35"
"423","6.93"
"424","0.43"
"425","7.36"
"426","8.82"
"427","8.66"
"428","2.55"
"429","0.81"
"430","8.26"
"431","8.5"
"432","1.91"
"433","3.23"
"434","1.68"
"435","5.85"
"436","3.16"
"437","1.32"
"438","4.21"
"439","6.19"
"440","3.34"
"441","6.88"
"442","6.25"
"443","0.81"
"444","3.71"
"445","0.71"
"446","8.44"
"447","7.17"
"448","5.99"
"449","6.76"
"450","7.81"
"451","4.98"
"452","4.29"
"453","8.9"
"454","4.09"
"455","4.43"
"456","6.41"
"457","6.28"
"458","8.62"
"459","6.14"
"460","3.47"
"461","4.71"
"462","4.66"
"463","0.09"
"464","8.33"
"465","6.76"
"466","8.0"
"467","1.11"
"468","6.62"
"469","7.07"
"470","4.94"
"471","4.74"
"472","6.46"
"473","3.86"
"474","2.31"
"475","8.2"
"476","4.81"
"477","1.73"
"478","1.48"
"479","9.17"
"480","9.34"
"481","7.59"
"482","0.12"
"483","0.52"
"484","10.0"
"485","6.58"
"486","2.46"
"487","4.03"
"488","6.6"
"489","4.93"
"490","0.09"
"491","1.13"
"492","1.13"
"493","2.66"
"494","2.09"
"495","3.17"
"496","2.81"
"497","6.16"
"498","3.2"
"499","9.91"
"500","5.59"
"501","6.78"
"502","2.42"
"503","2.56"
"504","6.98"
"505","7.0"
"506","2.38"
"507","4.64"
"508","9.9"
"509","6.7"
"510","1.72"
"511","3.45"
"512","7.14"
"513","5.72"
"514","4.79"
"515","0.28"
"516","3.56"
"517","3.05"
"518","0.42"
"519","0.23"
"520","0.4"
"521","7.04"
"522","5.24"
"523","2.03"
"524","8.72"
"525","2.65"
"526","6.37"
"527","4.03"
"528","8.62"
"529","7.91"
"530","4.42"
"531","5.53"
"532","6.09"
"533","8.99"
"534","2.27"
"535","6.37"
"536","8.18"
"537","0.64"
"538","6.46"
"539","7.89"
"540","5.54"
"541","0.79"
"542","1.05"
"543","5.27"
"544","6.36"
"545","8.28"
"546","1.16"
"547","1.43"
"548","2.21"
"549","8.92"
"550","6.09"
"551","7.85"
"552","5.36"
"553","2.18"
"554","1.56"
"555","3.74"
"556","5.73"
"557","8.39"
"558","8.96"
"559","4.91"
"560","8.56"
"561","3.89"
"562","5.2"
"563","2.88"
"564","3.09"
"565","1.16"
"566","4.71"
"567","4.75"
"568","6.95"
"569","8.2"
"570","3.24"
"571","4.27"
"572","9.38"
"573","7.21"
"574","1.82"
"575","3.15"
"576","4.94"
"577","1.19"
"578","9.61"
"579","6.03"
"580","0.13"
"581","9.84"
"582","5.4"
"583","5.14"
"584","4.46"
"585","1.89"
"586","1.97"
"587","0.17"
"588","4.21"
"589","4.56"
"590","7.24"
"591","7.16"
"592","3.17"
"593","8.82"
"594","6.05"
"595","3.11"
"596","3.23"
"597","2.41"
"598","7.68"
"599","3.45"
"600","0.18"
"601","1.76"
"602","1.04"
"603","5.19"
"604","7.83"
"605","8.9"
"606","3.62"
"607","7.98"
"608","3.12"
"609","9.95"
"610","1.08"
"611","6.82"
"612","1.32"
"613","1.71"
"614","7.62"
"615","0.95"
"616","4.58"
"617","7.01"
"618","8.81"
"619","8.86"
"620","2.85"
"621","6.8"
"622","0.82"
"623","4.02"
"624","5.46"
"625","8.17"
"626","4.33"
"627","7.35"
"628","4.46"
"629","3.32"
"630","4.47"
"631","6.31"
"632","2.07"
"633","1.08"
"634","4.74"
"635","0.61"
"636","0.02"
"637","5.24"
"638","0.56"
"639","9.72"
"640","0.64"
"641","5.63"
"642","7.68"
"643","1.18"
"644","7.46"
"645","4.0"
"646","4.7"
"647","8.51"
"648","0.79"
"649","9.92"
"650","0.25"
"651","0.2"
"652","4.46"
"653","3.87"
"654","1.66"
"655","3.53"
"656","2.44"
"657","6.74"
"658","5.93"
"659","6.6"
"660","0.33"
"661","0.03"
"662","8.99"
"663","8.68"
"664","9.99"
"665","1.31"
"666","8.26"
"667","9.33"
"668","1.3"
"669","1.68"
"670","9.8"
"671","8.21"
"672","2.61"
"673","0.51"
"674","8.59"
"675","4.45"
"676","1.5"
"677","5.76"
"678","5.36"
"679","4.59"
"680","9.24"
"681","8.17"
"682","1.82"
"683","3.54"
"684","7.69"
"685","4.08"
"686","8.73"
"687","8.6"
"688","2.33"
"689","7.5"
"690","6.36"
"691","4.42"
"692","9.64"
"693","2.68"
"694","2.36"
"695","3.46"
"696","4.89"
"697","3.46"
"698","3.25"
"699","2.26"
"700","3.57"
"701","2.72"
"702","1.08"
"703","4.63"
"704","8.51"
"705","6.88"
"706","2.4"
"707","8.23"
"708","3.33"
"709","2.81"
"710","3.55"
"711","0.78"
"712","5.2"
"713","1.57"
"714","7.62"
"715","9.85"
"716","1.98"
"717","1.83"
"718","9.16"
"719","5.13"
"720","1.87"
"721","3.28"
"722","2.56"
"723","4.65"
"724","9.34"
"725","0.94"
"726","4.58"
"727","1.38"
"728","0.31"
"729","5.37"
"730","8.37"
"731","9.38"
"732","0.68"
"733","2.89"
"734","1.97"
"735","1.61"
"736","2.75"
"737","6.25"
"738","1.08"
"739","4.64"
"740","8.01"
"741","4.01"
"742","3.7"
"743","9.53"
"744","3.22"
"745","4.97"
"746","8.63"
"747","4.53"
"748","1.27"
"749","0.39"
"750","1.57"
"751","8.9"
"752","9.3"
