applicant_id,score
"0","1.95"
"1","6.02"
"2","8.95"
"3","4.19"
"4","9.6"
"5","7.61"
"6","0.48"
"7","8.25"
"8","0.45"
"9","6.27"
"10","3.22"
"11","8.16"
"12","8.79"
"13","2.06"
"14","3.28"
"15","9.09"
"16","2.2"
"17","9.96"
"18","3.13"
"19","3.11"
"20","7.41"
"21","9.6"
"22","1.61"
"23","3.41"
"24","5.78"
"25","3.76"
"26","6.1"
"27","9.24"
"28","7.86"
"29","2.13"
"30","7.13"
"31","8.35"
"32","7.82"
"33","8.26"
"34","6.38"
"35","8.9"
"36","7.11"
"37","8.21"
"38","5.47"
"39","5.25"
"40","3.55"
"41","5.04"
"42","7.05"
"43","9.61"
"44","6.53"
"45","7.84"
"46","0.96"
"47","4.38"
"48","3.25"
"49","8.17"
"50","0.02"
"51","6.65"
"52","4.8"
"53","1.97"
"54","6.81"
"55","0.43"
"56","8.55"
"57","8.77"
"58","6.0"
"59","2.46"
"60","0.59"
"61","9.47"
"62","7.43"
"63","0.48"
"64","5.68"
"65","2.19"
"66","5.15"
"67","8.52"
"68","8.01"
"69","2.34"
"70","2.26"
"71","4.86"
"72","1.21"
"73","8.27"
"74","7.08"
"75","6.14"
"76","2.86"
"77","6.36"
"78","0.5"
"79","0.95"
"80","1.19"
"81","7.78"
"82","9.8"
"83","1.69"
"84","8.83"
"85","5.0"
"86","1.66"
"87","9.01"
"88","0.77"
"89","7.01"
"90","6.66"
"91","1.2"
"92","1.48"
"93","5.45"
"94","4.29"
"95","7.73"
"96","4.99"
"97","3.16"
"98","4.34"
"99","6.58"
"100","2.21"
"101","4.23"
"102","3.14"
"103","2.98"
"104","1.54"
"105","1.23"
"106","0.74"
"107","5.59"
"108","8.03"
"109","7.24"
"110","3.05"
"111","2.12"
"112","8.34"
"113","9.64"
"114","6.14"
"115","0.96"
"116","9.92"
"117","7.94"
"118","0.91"
"119","6.6"
"120","0.32"
"121","3.2"
"122","5.14"
"123","2.67"
"124","2.69"
"125","2.93"
"126","5.03"
"127","4.38"
"128","2.85"
"129","9.25"
"130","4.25"
"131","2.43"
"132","9.81"
"133","0.8"
"134","5.35"
"135","2.58"
"136","4.32"
"137","7.54"
"138","3.79"
"139","6.2"
"140","6.74"
"141","1.94"
"142","7.85"
"143","1.87"
"144","6.74"
"145","0.52"
"146","0.46"
"147","6.16"
"148","9.2"
"149","1.98"
"150","2.16"
"151","9.63"
"152","2.4"
"153","6.21"
"154","5.84"
"155","3.11"
"156","9.14"
"157","6.42"
"158","1.69"
"159","9.09"
"160","2.61"
"161","9.49"
"162","4.17"
"163","0.25"
"164","3.22"
"165","9.87"
"166","0.48"
"167","8.68"
"168","1.75"
"169","5.03"
"170","4.4"
