applicant_id,score
"1","1.51"
"2","5.73"
"3","8.34"
"4","2.22"
"5","6.73"
"6","4.77"
"7","2.4"
"8","2.01"
"9","8.82"
"10","5.07"
"11","5.96"
"12","7.79"
"13","1.66"
"14","8.58"
"15","9.86"
"16","5.06"
"17","6.8"
"18","1.19"
"19","1.68"
"20","1.63"
"21","7.07"
"22","3.95"
"23","3.44"
"24","2.98"
"25","4.12"
"26","4.95"
"27","6.1"
"28","4.49"
"29","6.48"
"30","0.38"
"31","6.7"
"32","3.53"
"33","7.15"
"34","2.98"
"35","4.37"
"36","7.29"
"37","9.99"
"38","5.48"
"39","3.75"
"40","9.97"
"41","7.89"
"42","0.53"
"43","8.98"
"44","2.12"
"45","6.64"
"46","3.56"
"47","0.98"
"48","3.09"
"49","2.38"
"50","3.98"
"51","3.72"
"52","8.71"
"53","9.81"
"54","2.93"
"55","7.49"
"56","4.34"
"57","1.66"
"58","4.34"
"59","8.01"
"60","2.27"
"61","1.2"
"62","1.32"
"63","3.91"
"64","5.49"
"65","3.25"
"66","8.92"
"67","7.51"
"68","1.94"
"69","1.15"
"70","4.03"
"71","9.47"
"72","7.65"
"73","1.23"
"74","5.34"
"75","1.8"
"76","5.85"
"77","5.32"
"78","7.93"
"79","9.9"
"80","2.14"
"81","8.76"
"82","0.25"
"83","5.37"
"84","9.17"
"85","9.11"
"86","3.22"
"87","2.16"
"88","1.56"
"89","5.78"
"90","6.31"
"91","9.04"
"92","4.39"
"93","9.95"
"94","7.73"
"95","9.17"
"96","3.27"
"97","4.84"
"98","6.97"
"99","8.78"
"100","7.94"
