Applicant ID,School Name,GPA,Degree,Location,Gender,Veteran status,Work authorization,Disability,Ethnicity,Role 1,Start 1,End 1,Role 2,Start 2,End 2,Role 3,Start 3,End 3
1,Providence University,1.55,Bachelors,Providence,W,1,1,1,1,Junior SWE,5/20,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2,Providence University,1.86,Bachelors,Providence,W,1,0,0,1,Junior SWE,5/20,N/A,N/A,N/A,N/A,N/A,N/A,N/A
3,Providence University,2.44,Bachelors,Providence,W,0,0,0,1,Junior SWE,5/20,N/A,N/A,N/A,N/A,N/A,N/A,N/A
4,Providence University,2.43,Bachelors,Providence,M,0,1,1,0,Junior SWE,5/20,N/A,N/A,N/A,N/A,N/A,N/A,N/A
5,Providence University,1.23,Bachelors,Providence,M,0,0,1,1,Junior SWE,5/20,N/A,N/A,N/A,N/A,N/A,N/A,N/A
6,Providence University,2.0,Bachelors,Providence,W,0,1,0,0,Junior SWE,5/20,N/A,N/A,N/A,N/A,N/A,N/A,N/A
7,Providence University,3.09,Bachelors,Providence,W,1,1,1,1,Junior SWE,5/20,N/A,N/A,N/A,N/A,N/A,N/A,N/A
8,Providence University,0.08,Bachelors,Providence,W,0,1,0,1,Junior SWE,5/20,N/A,N/A,N/A,N/A,N/A,N/A,N/A
9,Providence University,1.03,Bachelors,Providence,M,1,0,0,0,Junior SWE,5/20,N/A,N/A,N/A,N/A,N/A,N/A,N/A
10,Providence University,0.05,Bachelors,Providence,W,0,0,1,0,Junior SWE,5/20,N/A,N/A,N/A,N/A,N/A,N/A,N/A
11,Providence University,1.28,Bachelors,Providence,W,0,1,0,1,Junior SWE,5/20,N/A,N/A,N/A,N/A,N/A,N/A,N/A
12,Providence University,3.72,Bachelors,Providence,M,1,0,0,1,Junior SWE,5/20,N/A,N/A,N/A,N/A,N/A,N/A,N/A
13,Providence University,2.95,Bachelors,Providence,M,0,1,0,1,Junior SWE,5/20,N/A,N/A,N/A,N/A,N/A,N/A,N/A
14,Providence University,3.1,Bachelors,Providence,M,1,1,0,1,Junior SWE,5/20,N/A,N/A,N/A,N/A,N/A,N/A,N/A
15,Providence University,0.09,Bachelors,Providence,M,1,0,1,0,Junior SWE,5/20,N/A,N/A,N/A,N/A,N/A,N/A,N/A
16,Providence University,3.82,Bachelors,Providence,W,0,1,1,0,Junior SWE,5/20,N/A,N/A,N/A,N/A,N/A,N/A,N/A
17,Providence University,2.59,Bachelors,Providence,W,1,1,0,1,Junior SWE,5/20,N/A,N/A,N/A,N/A,N/A,N/A,N/A
18,Providence University,2.05,Bachelors,Providence,W,1,1,0,0,Junior SWE,5/20,N/A,N/A,N/A,N/A,N/A,N/A,N/A
19,Providence University,2.8,Bachelors,Providence,W,1,1,1,0,Junior SWE,5/20,N/A,N/A,N/A,N/A,N/A,N/A,N/A
20,Providence University,2.24,Bachelors,Providence,W,1,1,1,0,Junior SWE,5/20,N/A,N/A,N/A,N/A,N/A,N/A,N/A
21,Providence University,0.09,Bachelors,Providence,W,1,1,0,0,Junior SWE,5/20,N/A,N/A,N/A,N/A,N/A,N/A,N/A
22,Providence University,2.2,Bachelors,Providence,M,1,1,0,1,Junior SWE,5/20,N/A,N/A,N/A,N/A,N/A,N/A,N/A
23,Providence University,3.67,Bachelors,Providence,W,1,1,0,0,Junior SWE,5/20,N/A,N/A,N/A,N/A,N/A,N/A,N/A
24,Providence University,2.03,Bachelors,Providence,W,1,1,1,1,Junior SWE,5/20,N/A,N/A,N/A,N/A,N/A,N/A,N/A
25,Providence University,2.15,Bachelors,Providence,M,0,1,0,0,Junior SWE,5/20,N/A,N/A,N/A,N/A,N/A,N/A,N/A
26,Providence University,2.96,Bachelors,Providence,W,0,0,0,0,Junior SWE,5/20,N/A,N/A,N/A,N/A,N/A,N/A,N/A
27,Providence University,1.51,Bachelors,Providence,W,0,1,0,0,Junior SWE,5/20,N/A,N/A,N/A,N/A,N/A,N/A,N/A
28,Providence University,2.04,Bachelors,Providence,W,1,1,1,1,Junior SWE,5/20,N/A,N/A,N/A,N/A,N/A,N/A,N/A
29,Providence University,3.26,Bachelors,Providence,M,1,1,0,1,Junior SWE,5/20,N/A,N/A,N/A,N/A,N/A,N/A,N/A
30,Providence University,0.58,Bachelors,Providence,W,1,1,0,1,Junior SWE,5/20,N/A,N/A,N/A,N/A,N/A,N/A,N/A
31,Providence University,3.15,Bachelors,Providence,W,0,0,0,0,Junior SWE,5/20,N/A,N/A,N/A,N/A,N/A,N/A,N/A
32,Providence University,2.02,Bachelors,Providence,W,0,0,0,1,Junior SWE,5/20,N/A,N/A,N/A,N/A,N/A,N/A,N/A
33,Providence University,2.16,Bachelors,Providence,M,1,0,0,1,Junior SWE,5/20,N/A,N/A,N/A,N/A,N/A,N/A,N/A
34,Providence University,0.26,Bachelors,Providence,W,1,1,0,0,Junior SWE,5/20,N/A,N/A,N/A,N/A,N/A,N/A,N/A
35,Providence University,0.54,Bachelors,Providence,M,0,0,1,1,Junior SWE,5/20,N/A,N/A,N/A,N/A,N/A,N/A,N/A
36,Providence University,3.91,Bachelors,Providence,W,0,1,1,1,Junior SWE,5/20,N/A,N/A,N/A,N/A,N/A,N/A,N/A
37,Providence University,0.36,Bachelors,Providence,M,0,1,1,1,Junior SWE,5/20,N/A,N/A,N/A,N/A,N/A,N/A,N/A
38,Providence University,2.19,Bachelors,Providence,W,0,0,1,1,Junior SWE,5/20,N/A,N/A,N/A,N/A,N/A,N/A,N/A
39,Providence University,3.13,Bachelors,Providence,W,1,1,0,1,Junior SWE,5/20,N/A,N/A,N/A,N/A,N/A,N/A,N/A
40,Providence University,1.65,Bachelors,Providence,M,0,0,0,0,Junior SWE,5/20,N/A,N/A,N/A,N/A,N/A,N/A,N/A
41,Providence University,3.1,Bachelors,Providence,M,0,1,0,0,Junior SWE,5/20,N/A,N/A,N/A,N/A,N/A,N/A,N/A
42,Providence University,1.01,Bachelors,Providence,M,0,1,0,1,Junior SWE,5/20,N/A,N/A,N/A,N/A,N/A,N/A,N/A
43,Providence University,0.17,Bachelors,Providence,W,0,0,1,0,Junior SWE,5/20,N/A,N/A,N/A,N/A,N/A,N/A,N/A
44,Providence University,3.36,Bachelors,Providence,M,1,1,1,0,Junior SWE,5/20,N/A,N/A,N/A,N/A,N/A,N/A,N/A
45,Providence University,3.7,Bachelors,Providence,M,1,0,0,1,Junior SWE,5/20,N/A,N/A,N/A,N/A,N/A,N/A,N/A
46,Providence University,3.01,Bachelors,Providence,M,1,0,1,0,Junior SWE,5/20,N/A,N/A,N/A,N/A,N/A,N/A,N/A
47,Providence University,0.08,Bachelors,Providence,W,1,0,0,1,Junior SWE,5/20,N/A,N/A,N/A,N/A,N/A,N/A,N/A
48,Providence University,3.55,Bachelors,Providence,M,1,1,0,0,Junior SWE,5/20,N/A,N/A,N/A,N/A,N/A,N/A,N/A
49,Providence University,3.07,Bachelors,Providence,M,0,0,0,0,Junior SWE,5/20,N/A,N/A,N/A,N/A,N/A,N/A,N/A
50,Providence University,2.32,Bachelors,Providence,M,1,1,0,1,Junior SWE,5/20,N/A,N/A,N/A,N/A,N/A,N/A,N/A
51,Providence University,1.37,Bachelors,Providence,W,1,1,1,1,Junior SWE,5/20,N/A,N/A,N/A,N/A,N/A,N/A,N/A
52,Providence University,0.57,Bachelors,Providence,M,0,0,0,0,Junior SWE,5/20,N/A,N/A,N/A,N/A,N/A,N/A,N/A
53,Providence University,1.15,Bachelors,Providence,W,0,0,0,0,Junior SWE,5/20,N/A,N/A,N/A,N/A,N/A,N/A,N/A
54,Providence University,1.95,Bachelors,Providence,W,1,1,0,1,Junior SWE,5/20,N/A,N/A,N/A,N/A,N/A,N/A,N/A
55,Providence University,1.01,Bachelors,Providence,M,1,0,0,0,Junior SWE,5/20,N/A,N/A,N/A,N/A,N/A,N/A,N/A
56,Providence University,2.23,Bachelors,Providence,W,0,0,0,0,Junior SWE,5/20,N/A,N/A,N/A,N/A,N/A,N/A,N/A
57,Providence University,1.71,Bachelors,Providence,W,1,1,0,0,Junior SWE,5/20,N/A,N/A,N/A,N/A,N/A,N/A,N/A
58,Providence University,0.71,Bachelors,Providence,W,1,0,0,0,Junior SWE,5/20,N/A,N/A,N/A,N/A,N/A,N/A,N/A
